DIALS 1.14.32-g3faa4529d
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  datablock = datablock.json
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------


Finding spots in image 1 to 720...
Setting chunksize=20
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 1183 strong pixels on image 1
Found 987 strong pixels on image 2
Found 938 strong pixels on image 3
Found 934 strong pixels on image 4
Found 1082 strong pixels on image 5
Found 1019 strong pixels on image 6
Found 1046 strong pixels on image 7
Found 1048 strong pixels on image 8
Found 1022 strong pixels on image 9
Found 1032 strong pixels on image 10
Found 920 strong pixels on image 11
Found 961 strong pixels on image 12
Found 978 strong pixels on image 13
Found 1007 strong pixels on image 14
Found 1013 strong pixels on image 15
Found 1015 strong pixels on image 16
Found 940 strong pixels on image 17
Found 944 strong pixels on image 18
Found 950 strong pixels on image 19
Found 956 strong pixels on image 20
Found 1030 strong pixels on image 21
Found 1002 strong pixels on image 22
Found 908 strong pixels on image 23
Found 941 strong pixels on image 24
Found 970 strong pixels on image 25
Found 993 strong pixels on image 26
Found 949 strong pixels on image 27
Found 955 strong pixels on image 28
Found 905 strong pixels on image 29
Found 946 strong pixels on image 30
Found 1010 strong pixels on image 31
Found 1033 strong pixels on image 32
Found 957 strong pixels on image 33
Found 933 strong pixels on image 34
Found 953 strong pixels on image 35
Found 884 strong pixels on image 36
Found 854 strong pixels on image 37
Found 879 strong pixels on image 38
Found 915 strong pixels on image 39
Found 958 strong pixels on image 40
Found 1001 strong pixels on image 41
Found 945 strong pixels on image 42
Found 939 strong pixels on image 43
Found 908 strong pixels on image 44
Found 941 strong pixels on image 45
Found 820 strong pixels on image 46
Found 876 strong pixels on image 47
Found 972 strong pixels on image 48
Found 940 strong pixels on image 49
Found 971 strong pixels on image 50
Found 885 strong pixels on image 51
Found 930 strong pixels on image 52
Found 941 strong pixels on image 53
Found 1004 strong pixels on image 54
Found 922 strong pixels on image 55
Found 863 strong pixels on image 56
Found 821 strong pixels on image 57
Found 913 strong pixels on image 58
Found 839 strong pixels on image 59
Found 873 strong pixels on image 60
Found 903 strong pixels on image 61
Found 874 strong pixels on image 62
Found 896 strong pixels on image 63
Found 844 strong pixels on image 64
Found 926 strong pixels on image 65
Found 978 strong pixels on image 66
Found 888 strong pixels on image 67
