DIALS 3.dev.345-gf2cdeb6c2
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  experiments = imported.expt
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------

Finding spots in image 1 to 720...
Setting chunksize=20
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 1752 strong pixels on image 1
Found 1536 strong pixels on image 2
Found 1439 strong pixels on image 3
Found 1433 strong pixels on image 4
Found 1695 strong pixels on image 5
Found 1645 strong pixels on image 6
Found 1593 strong pixels on image 7
Found 1663 strong pixels on image 8
Found 1597 strong pixels on image 9
Found 1605 strong pixels on image 10
Found 1452 strong pixels on image 11
Found 1491 strong pixels on image 12
Found 1489 strong pixels on image 13
Found 1562 strong pixels on image 14
Found 1519 strong pixels on image 15
Found 1605 strong pixels on image 16
Found 1429 strong pixels on image 17
Found 1404 strong pixels on image 18
Found 1407 strong pixels on image 19
Found 1411 strong pixels on image 20
Found 1504 strong pixels on image 21
Found 1562 strong pixels on image 22
Found 1368 strong pixels on image 23
Found 1385 strong pixels on image 24
Found 1488 strong pixels on image 25
Found 1518 strong pixels on image 26
Found 1511 strong pixels on image 27
Found 1470 strong pixels on image 28
Found 1435 strong pixels on image 29
Found 1414 strong pixels on image 30
Found 1540 strong pixels on image 31
Found 1591 strong pixels on image 32
Found 1418 strong pixels on image 33
Found 1474 strong pixels on image 34
Found 1438 strong pixels on image 35
Found 1257 strong pixels on image 36
Found 1223 strong pixels on image 37
Found 1357 strong pixels on image 38
Found 1350 strong pixels on image 39
Found 1441 strong pixels on image 40
Found 1393 strong pixels on image 41
Found 1394 strong pixels on image 42
Found 1411 strong pixels on image 43
Found 1366 strong pixels on image 44
Found 1397 strong pixels on image 45
Found 1231 strong pixels on image 46
Found 1304 strong pixels on image 47
Found 1498 strong pixels on image 48
Found 1444 strong pixels on image 49
Found 1452 strong pixels on image 50
Found 1270 strong pixels on image 51
Found 1465 strong pixels on image 52
Found 1431 strong pixels on image 53
Found 1523 strong pixels on image 54
Found 1382 strong pixels on image 55
Found 1285 strong pixels on image 56
Found 1168 strong pixels on image 57
Found 1383 strong pixels on image 58
Found 1298 strong pixels on image 59
Found 1311 strong pixels on image 60
Found 1273 strong pixels on image 61
Found 1333 strong pixels on image 62
Found 1325 strong pixels on image 63
