DIALS 3.dev.1399-g5d3eb2eaa
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  experiments = imported.expt
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------

Finding spots in image 1 to 540...
Setting chunksize=27
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 2962 strong pixels on image 1
Found 2809 strong pixels on image 2
Found 2981 strong pixels on image 3
Found 2933 strong pixels on image 4
Found 2969 strong pixels on image 5
Found 2708 strong pixels on image 6
Found 2926 strong pixels on image 7
Found 2942 strong pixels on image 8
Found 2799 strong pixels on image 9
Found 2871 strong pixels on image 10
Found 2888 strong pixels on image 11
Found 2903 strong pixels on image 12
Found 2634 strong pixels on image 13
Found 2746 strong pixels on image 14
Found 2873 strong pixels on image 15
Found 2898 strong pixels on image 16
Found 3104 strong pixels on image 17
Found 3182 strong pixels on image 18
Found 3335 strong pixels on image 19
Found 3350 strong pixels on image 20
Found 3271 strong pixels on image 21
Found 3220 strong pixels on image 22
Found 3263 strong pixels on image 23
Found 3233 strong pixels on image 24
Found 3181 strong pixels on image 25
Found 3193 strong pixels on image 26
Found 3292 strong pixels on image 27
Found 3285 strong pixels on image 28
Found 3288 strong pixels on image 29
Found 3410 strong pixels on image 30
Found 3238 strong pixels on image 31
Found 2941 strong pixels on image 32
Found 2896 strong pixels on image 33
Found 2924 strong pixels on image 34
Found 3106 strong pixels on image 35
Found 2768 strong pixels on image 36
Found 2967 strong pixels on image 37
Found 3182 strong pixels on image 38
Found 3052 strong pixels on image 39
Found 3016 strong pixels on image 40
Found 2905 strong pixels on image 41
Found 2849 strong pixels on image 42
Found 2903 strong pixels on image 43
Found 3186 strong pixels on image 44
Found 3387 strong pixels on image 45
Found 3231 strong pixels on image 46
Found 3052 strong pixels on image 47
Found 3127 strong pixels on image 48
Found 3171 strong pixels on image 49
Found 3164 strong pixels on image 50
Found 3371 strong pixels on image 51
Found 3064 strong pixels on image 52
Found 2872 strong pixels on image 53
Found 2993 strong pixels on image 54
Found 3031 strong pixels on image 55
Found 2920 strong pixels on image 56
Found 2816 strong pixels on image 57
Found 3089 strong pixels on image 58
Found 3096 strong pixels on image 59
Found 3395 strong pixels on image 60
Found 3158 strong pixels on image 61
Found 2987 strong pixels on image 62
Found 2936 strong pixels on image 63
Found 3027 strong pixels on image 64
Found 3056 strong pixels on image 65
Found 3393 strong pixels on image 66
Found 3368 strong pixels on image 67
Found 3215 strong pixels on image 68
Found 3270 strong pixels on image 69
Found 3382 strong pixels on image 70
Found 3271 strong pixels on image 71
Found 3071 strong pixels on image 72
Found 3174 strong pixels on image 73
Found 3365 strong pixels on image 74
Found 3133 strong pixels on image 75
Found 3116 strong pixels on image 76
Found 2898 strong pixels on image 77
Found 2960 strong pixels on image 78
Found 2951 strong pixels on image 79
Found 2878 strong pixels on image 80
Found 3062 strong pixels on image 81
Found 3204 strong pixels on image 82
Found 3141 strong pixels on image 83
Found 3186 strong pixels on image 84
Found 3356 strong pixels on image 85
Found 3390 strong pixels on image 86
Found 3384 strong pixels on image 87
Found 3320 strong pixels on image 88
Found 3098 strong pixels on image 89
Found 3103 strong pixels on image 90
Found 2958 strong pixels on image 91
Found 2731 strong pixels on image 92
Found 2925 strong pixels on image 93
Found 2934 strong pixels on image 94
Found 3099 strong pixels on image 95
Found 3281 strong pixels on image 96
Found 3217 strong pixels on image 97
Found 3304 strong pixels on image 98
Found 3498 strong pixels on image 99
Found 3352 strong pixels on image 100
Found 3367 strong pixels on image 101
Found 3238 strong pixels on image 102
Found 2982 strong pixels on image 103
Found 2960 strong pixels on image 104
Found 3134 strong pixels on image 105
Found 3180 strong pixels on image 106
Found 3288 strong pixels on image 107
Found 3070 strong pixels on image 108
Found 3008 strong pixels on image 109
Found 3067 strong pixels on image 110
Found 3241 strong pixels on image 111
Found 3380 strong pixels on image 112
Found 3259 strong pixels on image 113
Found 3197 strong pixels on image 114
Found 3278 strong pixels on image 115
Found 3091 strong pixels on image 116
Found 3222 strong pixels on image 117
Found 3384 strong pixels on image 118
Found 3244 strong pixels on image 119
Found 3100 strong pixels on image 120
Found 3086 strong pixels on image 121
Found 3188 strong pixels on image 122
Found 3151 strong pixels on image 123
Found 3087 strong pixels on image 124
Found 3193 strong pixels on image 125
Found 3121 strong pixels on image 126
Found 2863 strong pixels on image 127
Found 3254 strong pixels on image 128
Found 3210 strong pixels on image 129
Found 2889 strong pixels on image 130
Found 3339 strong pixels on image 131
Found 3161 strong pixels on image 132
Found 3114 strong pixels on image 133
Found 3099 strong pixels on image 134
Found 3128 strong pixels on image 135
Found 2985 strong pixels on image 136
Found 3281 strong pixels on image 137
Found 3346 strong pixels on image 138
Found 3038 strong pixels on image 139
Found 3197 strong pixels on image 140
Found 3181 strong pixels on image 141
Found 3049 strong pixels on image 142
Found 2923 strong pixels on image 143
Found 3119 strong pixels on image 144
Found 2947 strong pixels on image 145
Found 3068 strong pixels on image 146
Found 2983 strong pixels on image 147
Found 3239 strong pixels on image 148
Found 3226 strong pixels on image 149
Found 3272 strong pixels on image 150
Found 3336 strong pixels on image 151
Found 3397 strong pixels on image 152
Found 3361 strong pixels on image 153
Found 3280 strong pixels on image 154
Found 3362 strong pixels on image 155
Found 3138 strong pixels on image 156
Found 3122 strong pixels on image 157
Found 3412 strong pixels on image 158
Found 3310 strong pixels on image 159
Found 3226 strong pixels on image 160
Found 3342 strong pixels on image 161
Found 3378 strong pixels on image 162
Found 3464 strong pixels on image 163
Found 3231 strong pixels on image 164
Found 3215 strong pixels on image 165
Found 3263 strong pixels on image 166
Found 3271 strong pixels on image 167
Found 3275 strong pixels on image 168
Found 3126 strong pixels on image 169
Found 3162 strong pixels on image 170
Found 3188 strong pixels on image 171
Found 3328 strong pixels on image 172
Found 3421 strong pixels on image 173
Found 3352 strong pixels on image 174
Found 3112 strong pixels on image 175
Found 3034 strong pixels on image 176
Found 3207 strong pixels on image 177
Found 3058 strong pixels on image 178
Found 3182 strong pixels on image 179
Found 3114 strong pixels on image 180
Found 3082 strong pixels on image 181
Found 3293 strong pixels on image 182
Found 3472 strong pixels on image 183
Found 3179 strong pixels on image 184
Found 3097 strong pixels on image 185
Found 3188 strong pixels on image 186
Found 3211 strong pixels on image 187
Found 3157 strong pixels on image 188
Found 3233 strong pixels on image 189
Found 3186 strong pixels on image 190
Found 3082 strong pixels on image 191
Found 3087 strong pixels on image 192
Found 3110 strong pixels on image 193
Found 3287 strong pixels on image 194
Found 3107 strong pixels on image 195
Found 3235 strong pixels on image 196
Found 3162 strong pixels on image 197
Found 3279 strong pixels on image 198
Found 3026 strong pixels on image 199
Found 3023 strong pixels on image 200
Found 3041 strong pixels on image 201
Found 3211 strong pixels on image 202
Found 3299 strong pixels on image 203
Found 3174 strong pixels on image 204
Found 3136 strong pixels on image 205
Found 3161 strong pixels on image 206
Found 3220 strong pixels on image 207
Found 3125 strong pixels on image 208
Found 3094 strong pixels on image 209
Found 3122 strong pixels on image 210
Found 3031 strong pixels on image 211
Found 3091 strong pixels on image 212
Found 3186 strong pixels on image 213
Found 3128 strong pixels on image 214
Found 3037 strong pixels on image 215
Found 3104 strong pixels on image 216
Found 3106 strong pixels on image 217
Found 3062 strong pixels on image 218
Found 3002 strong pixels on image 219
Found 3132 strong pixels on image 220
Found 3055 strong pixels on image 221
Found 3021 strong pixels on image 222
Found 3001 strong pixels on image 223
Found 3128 strong pixels on image 224
